P-iqb,P-eletrico,P-agua,P-gas,Temperatura ambiente,Tarifa da energia Selétrica,IQB 1,IQB 2,IQB 3,IQB 4,IQB 5,IQB 6,IQB 7,IQB médio,IQB total,Recompensa total,Custo elétrico total,Custo de gás total,Custo de água total,Custo total do banho
0.049496505,0.0,0.95050347,0.0,25.0,1.0,0.2531226436635984,0.9375565104614608,0.8652167830171408,0.9190079395749985,0.8624029923269652,0.8596133602390238,0.859431024996371,0.7937644648970797,5.556351254279559,[ 5.5564 -0.2074 -0.2067 -0.5053],0.20742724526371628,0.5053404255319148,0.20673689084477154,0.9195045616404026
0.049496505,0.0,0.95050347,0.0,26.0,1.0,0.3663166487384939,0.9914393011376076,0.8530523471968336,0.9441941695557162,0.8458250428297636,0.8962344094862202,0.8977194187078262,0.827825905378923,5.794781337652461,[ 5.7948 -0.1815 -0.2053 -0.4751],0.18150000000000005,0.4751063829787234,0.20527688921600598,0.8618832721947294
0.049496505,0.0,0.95050347,0.0,27.0,1.0,0.45127290136407017,0.9786959315410992,0.8438575231397891,0.9589116321232396,0.8840823348429212,0.9243768548697452,0.8807280829508035,0.8459893229759524,5.921925260831667,[ 5.9219 -0.1738 -0.1995 -0.4338],0.17382089411721138,0.4337659574468084,0.1994676318647169,0.8070544834287368
0.049496505,0.0,0.95050347,0.0,28.0,1.0,0.5803031669673727,0.940560911623758,0.8693348831953731,0.9035847286751324,0.9050474586802886,0.9046446317903797,0.904548802238204,0.8582892261672154,6.008024583170507,[ 6.008  -0.1502 -0.1784 -0.39  ],0.1502188467291314,0.3899574468085106,0.178391150419259,0.718567443956901
0.049496505,0.0,0.95050347,0.0,29.0,1.0,0.08624562026388607,0.9360223377260692,0.8254232601497171,0.9151093640408917,0.8849559836689717,0.883207036580551,0.8832480039795381,0.7734588009156607,5.414211606409625,[ 5.4142 -0.1439 -0.1413 -0.3239],0.14390607313304263,0.32393617021276594,0.1413454160434326,0.6091876593892411
0.049496505,0.0,0.95050347,0.0,30.0,1.0,0.3139332284351663,0.9056510487353464,0.8924066706227028,0.8934253587111157,0.893441588791336,0.8934399102960092,0.8934448961125638,0.8122489573863201,5.685742701704241,[ 5.6857 -0.1275 -0.141  -0.2943],0.12752932706093376,0.2943191489361702,0.14099317485017063,0.5628416508472746
0.041858736,0.40198433,0.0,0.55615693,15.0,1.0,7.760265660639567e-05,0.09032409394482843,0.003836166304545773,0.1956235664174989,0.3678791379619496,0.3678787411149625,0.0,0.17093655140006525,1.0256193084003915,[-3.9744 -5.4584 -5.2042 -5.7855],0.4584412414822735,0.7854680851063829,0.2041903621745937,1.4480996887632502
0.041858736,0.40198433,0.0,0.55615693,16.0,1.0,0.0002807571176578132,0.17998869664081923,0.005470323101563952,0.3678789469398929,0.3678785529163494,0.36787814737267555,0.0,0.21489590401482647,1.2893754240889588,[-3.7106 -5.4295 -5.1835 -5.7398],0.4295062555803498,0.7398085106382977,0.1834691794504784,1.352783945669126
0.041858736,0.40198433,0.0,0.55615693,17.0,1.0,3.607435965575683e-05,0.07327151445473837,0.004994879412282729,0.3678789756014552,0.36787861508768993,0.3678782458885464,0.0,0.19698971746739471,1.1819383048043683,[-3.8181 -5.4551 -5.1874 -5.6257],0.4551373705275775,0.6256595744680851,0.1873991184613266,1.268196063456989
0.041858736,0.40198433,0.0,0.55615693,18.0,1.0,5.623839278804546e-05,0.09566658985721233,0.006750460218383211,0.3678790088988475,0.36787868090506287,0.3678783462942583,0.0,0.20101822076109208,1.2061093245665524,[-3.7939 -5.4389 -5.185  -5.5849],0.4388987831893595,0.5849361702127659,0.18501417381042784,1.2088491272125532
